id,category,name,aliases,calories,protein,fat,saturated_fat,carbs,fiber,sugar,sodium,trans_fat_g
A0500204,穀物類,稉米(台稉8號),"蓬萊米,圓米",354.2366,6.928,0.4024,0.1236,78.8316,0.4746,0.0,1.5755,
A0500205,穀物類,稉米(台稉9號),"蓬萊米,圓米",352.0274,6.58,0.6335,0.1926,78.2041,0.5678,0.0,1.94,
A0500206,穀物類,稉米(台農71號),"蓬萊米,圓米,益全香米",354.7453,7.9183,0.6393,0.2215,77.7507,0.8958,0.0633,1.6953,
A0500207,穀物類,稉米(高雄139號),"蓬萊米,圓米",354.5092,6.1225,1.1844,0.302,78.4933,1.2904,0.4245,2.2,
A0500208,穀物類,稉米(高雄142號),"蓬萊米,圓米",352.092,7.0,0.6,,77.7,0.2,,4.0,
A0500209,穀物類,稉米(高雄145號),"蓬萊米,圓米",362.4282,6.768,0.9792,0.3388,80.0453,0.9515,0.207,0.566,
A0500210,穀物類,稉米(高雄139號)(2021年取樣),"蓬萊米,圓米",350.5867,5.666,0.4619,0.1802,79.1833,0.7871,0.129,0.71,0.0
A0500211,穀物類,稉米(高雄147),"蓬萊米,圓米",355.7352,5.545,0.916,0.3271,79.8482,1.2204,0.241,1.76,0.0
A0500301,穀物類,越光米,"蓬萊米,圓米",337.6754,7.556,0.9765,0.2263,73.25,0.8641,0.0,0.7905,
A0500302,穀物類,越光米(台南16號)(2024年取樣),"蓬萊米,圓米",354.0067,6.948,0.33,0.1444,79.1176,0.8899,0.116,1.37,0.0
A0500401,穀物類,秈型糯米(台中糯70號),長糯米,360.4693,7.8625,0.89,0.2399,78.439,0.4203,,1.31,
A0500402,穀物類,秈型糯米(2025年取樣),長糯米,360.2539,6.955,0.798,0.283,79.6391,0.8172,0.173,0.0,0.0
A05005,穀物類,稉型糯米平均值,圓糯米,356.6718,8.29,0.81,0.2292,77.418,0.7,,3.11,
A0500501,穀物類,稉型糯米,圓糯米,357.1425,8.38,0.52,0.1471,78.036,0.7,,2.22,
A0500502,穀物類,稉型糯米(台稉糯1號),圓糯米,356.201,8.2,1.1,,76.8,0.7,,4.0,
A0500503,穀物類,稉型糯米(2025年取樣),圓糯米,358.7293,6.776,0.928,0.2884,79.3668,1.1903,0.403,0.89,0.0
A0500601,穀物類,野生紅米,,352.4482,7.693,2.5955,0.581,74.7352,3.4268,0.2594,8.286,
A0500701,穀物類,紅糯糙米,,352.2081,9.92,2.8463,0.7399,72.5936,4.4756,0.342,0.591,
A0500801,穀物類,黑秈糯糙米,"黑糯米,紫糯米,紫米,貢米,長生米",350.4265,10.1235,3.465,0.8627,70.1026,3.293,,2.5,
A0500802,穀物類,黑秈糯糙米(2025年取樣),"黑糯米,紫糯米,紫米,貢米,長生米",357.8322,7.852,3.661,1.0599,74.497,4.9242,0.829,0.0,0.0
A0500901,穀物類,胚芽秈米(台中秈10號),,357.1116,8.272,2.0718,0.5477,76.0519,2.7862,0.48,1.608,
A05010,穀物類,胚芽稉米平均值,,358.4954,8.1985,1.5692,0.464,76.833,1.5315,0.1665,1.4755,
A0501001,穀物類,胚芽稉米(台稉10號）,,356.6107,7.28,1.6679,0.4918,77.1722,1.7754,0.024,1.039,
A0501002,穀物類,胚芽稉米(台稉9號),,360.3801,9.117,1.4705,0.436,76.4937,1.2875,0.309,1.912,
A05011,穀物類,發芽稉米平均值,發芽糙米,347.8713,7.798,2.3453,0.5447,73.9857,3.335,0.167,3.2655,
A0501103,穀物類,發芽稉米(台稉71號),"發芽糙米,益全香米發芽米",349.7035,7.406,2.8031,0.5646,73.8638,3.3183,0.334,3.314,
A0501104,穀物類,發芽稉米(台稉9號）,發芽糙米,346.0392,8.19,1.8875,0.4966,74.1076,3.3516,0.0,3.217,
A0501201,穀物類,糙秈米,糙米,351.7616,7.285,3.2064,0.8013,73.6444,3.2902,0.2851,3.504,
A05013,穀物類,糙稉米平均值,糙米,354.7295,7.436,2.3292,0.572,76.6276,4.503,0.45,3.071,
A0501301,穀物類,糙稉米(台稉71號),益全香米糙米,352.8875,8.955,2.6203,0.5232,73.6494,3.5349,0.4907,3.054,
